District,Area,Post Code,Home Delivery,Lockdown,Charge(1kg),Charge(2kg),Charge(3kg),COD Charge
Dhaka,Mohammadpur(Dhaka),1207,Yes,No,60,75,90,0%
Dhaka,Dhanmondi - Rd 3,1209,Yes,No,60,75,90,0%
Dhaka,Gulshan,1212,Yes,No,60,75,90,0%
Dhaka,Kallyanpur,1216,Yes,No,60,75,90,0%
Dhaka,Shyamoli,1207,Yes,No,60,75,90,0%
Dhaka,Adabor,1207,Yes,No,60,75,90,0%
Dhaka,Darussalam,1216,Yes,No,60,75,90,0%
Dhaka,Gabtoli,1216,Yes,No,60,75,90,0%
Dhaka,Pallabi,1216,Yes,No,60,75,90,0%
Dhaka,Lalmatia,1207,Yes,No,60,75,90,0%
Dhaka,Mirpur DOHS,1216,Yes,No,60,75,90,0%
Dhaka,Kochukhet,1206,Yes,No,60,75,90,0%
Dhaka,Gudaraghat (Badda),1212,Yes,No,60,75,90,0%
Dhaka,Agargaon,1216,Yes,No,60,75,90,0%
Dhaka,Monipur,1216,Yes,No,60,75,90,0%
Dhaka,Sher-E-Bangla Nagar,1205,Yes,No,60,75,90,0%
Dhaka,Ibrahimpur,1206,Yes,No,60,75,90,0%
Dhaka,Cantonment Post Office,1212,Yes,No,60,75,90,0%
Dhaka,Mirpur Cantonment,1216,Yes,No,60,75,90,0%
Dhaka,Kafrul,1206,Yes,No,60,75,90,0%
Dhaka,Vashantek,1206,Yes,No,60,75,90,0%
Dhaka,Manikdi,1216,Yes,No,60,75,90,0%
Dhaka,Matikata,1216,Yes,No,60,75,90,0%
Dhaka,M.E.S,1212,Yes,No,60,75,90,0%
Dhaka,Rupnagar Residential Area,1216,Yes,No,60,75,90,0%
Dhaka,Duaripara,1216,Yes,No,60,75,90,0%
Dhaka,Rainkhola,1216,Yes,No,60,75,90,0%
Dhaka,Mirpur Diabari,1216,Yes,No,60,75,90,0%
Dhaka,Mazar Road,1216,Yes,No,60,75,90,0%
Dhaka,Shagufta,1216,Yes,No,60,75,90,0%
Dhaka,Bawnia,1230,Yes,No,60,75,90,0%
Dhaka,Baigertek,1216,Yes,No,60,75,90,0%
Dhaka,Madina nagar,1216,Yes,No,60,75,90,0%
Dhaka,Dewanpara,1216,Yes,No,60,75,90,0%
Dhaka,Namapara,1229,Yes,No,60,75,90,0%
Dhaka,Mastertek,1216,Yes,No,60,75,90,0%
Dhaka,Balughat,1216,Yes,No,60,75,90,0%
Dhaka,Barontek,1216,Yes,No,60,75,90,0%
Dhaka,Goltek,1216,Yes,No,60,75,90,0%
Dhaka,Kurmitola,1229,Yes,No,60,75,90,0%
Dhaka,Shewra,1229,Yes,No,60,75,90,0%
Dhaka,Ainusbag,1230,Yes,No,60,75,90,0%
Dhaka,Uttarkhan,1230,Yes,No,60,75,90,0%
Dhaka,Dakshinkhan,1230,Yes,No,60,75,90,0%
Dhaka,Fayedabad,1230,Yes,No,60,75,90,0%
Dhaka,Ashkona,1230,Yes,No,60,75,90,0%
Dhaka,Kuril,1229,Yes,No,60,75,90,0%
Dhaka,Khilkhet,1229,Yes,No,60,75,90,0%
Dhaka,Nikunja,1229,Yes,No,60,75,90,0%
Dhaka,Sonali Bank Staff Quarter,1230,Yes,No,60,75,90,0%
Dhaka,Hajipara (Rampura),1219,Yes,No,60,75,90,0%
Dhaka,Kawla,1230,Yes,No,60,75,90,0%
Dhaka,Naddapara,1230,Yes,No,60,75,90,0%
Dhaka,Bashundhara R/A,1229,Yes,No,60,75,90,0%
Dhaka,Vatara,1229,Yes,No,60,75,90,0%
Dhaka,Nadda,1229,Yes,No,60,75,90,0%
Dhaka,Baridhara,1212,Yes,No,60,75,90,0%
Dhaka,Baridhara DOHS,1212,Yes,No,60,75,90,0%
Dhaka,Notun Bazar,1229,Yes,No,60,75,90,0%
Dhaka,Adarsha Nagar (Badda),1212,Yes,No,60,75,90,0%
Dhaka,Shahjadpur,1212,Yes,No,60,75,90,0%
Dhaka,Uttor Badda,1212,Yes,No,60,75,90,0%
Dhaka,Middle Badda,1212,Yes,No,60,75,90,0%
Dhaka,South Badda,1212,Yes,No,60,75,90,0%
Dhaka,Merul Badda,1212,Yes,No,60,75,90,0%
Dhaka,Niketon,1212,Yes,No,60,75,90,0%
Dhaka,Banani,1213,Yes,No,60,75,90,0%
Dhaka,Banani DOHS,1213,Yes,No,60,75,90,0%
Dhaka,Mohakhali,1212,Yes,No,60,75,90,0%
Dhaka,Mohakhali DOHS,1212,Yes,No,60,75,90,0%
Dhaka,South Monipur,1216,Yes,No,60,75,90,0%
Dhaka,Shah Ali Bag,1216,Yes,No,60,75,90,0%
Dhaka,Aziz Palli,1212,Yes,No,60,75,90,0%
Dhaka,Bashtola,1229,Yes,No,60,75,90,0%
Dhaka,South Baridhara DIT Project,1212,Yes,No,60,75,90,0%
Dhaka,Aftabnagar,1212,Yes,No,60,75,90,0%
Dhaka,Bijoy Shoroni,1215,Yes,No,60,75,90,0%
Dhaka,Farmgate,1215,Yes,No,60,75,90,0%
Dhaka,Indira Road,1215,Yes,No,60,75,90,0%
Dhaka,Tejgaon,1208,Yes,No,60,75,90,0%
Dhaka,Tejkunipara,1215,Yes,No,60,75,90,0%
Dhaka,Razabazar,1215,Yes,No,60,75,90,0%
Dhaka,Sukrabad,1215,Yes,No,60,75,90,0%
Dhaka,Panthopath,1205,Yes,No,60,75,90,0%
Dhaka,Kalabagan,1205,Yes,No,60,75,90,0%
Dhaka,Green Road,1205,Yes,No,60,75,90,0%
Dhaka,Manik Mia Avenue,1225,Yes,No,60,75,90,0%
Dhaka,Asad Avenue,1207,Yes,No,60,75,90,0%
Dhaka,West Dhanmondi,1209,Yes,No,60,75,90,0%
